frames=17648
samplerate=44100, outrate=32768
channels=2
num_items=35296
Read 35296 items
idx = 419	 inval = -2080440320	 outidx = 156	 outval = -62
idx = 422	 inval = -2080047104	 outidx = 157	 outval = -61
idx = 425	 inval = -2079784960	 outidx = 158	 outval = -61
idx = 427	 inval = -2079588352	 outidx = 159	 outval = -61
idx = 430	 inval = -2079129600	 outidx = 160	 outval = -61
idx = 433	 inval = -2078867456	 outidx = 161	 outval = -61
idx = 436	 inval = -2078408704	 outidx = 162	 outval = -61
idx = 438	 inval = -2078081024	 outidx = 163	 outval = -61
idx = 444	 inval = -2077360128	 outidx = 165	 outval = -61
idx = 446	 inval = -2077163520	 outidx = 166	 outval = -61
idx = 449	 inval = -2076901376	 outidx = 167	 outval = -61
idx = 452	 inval = -2076377088	 outidx = 168	 outval = -61
idx = 454	 inval = -477888512	 outidx = 169	 outval = -14
idx = 457	 inval = -1131806720	 outidx = 170	 outval = -33
idx = 460	 inval = -1706164224	 outidx = 171	 outval = -50
idx = 462	 inval = -1844641792	 outidx = 172	 outval = -54
idx = 465	 inval = -1930887168	 outidx = 173	 outval = -57
idx = 468	 inval = -2018377728	 outidx = 174	 outval = -60
idx = 473	 inval = -2052128768	 outidx = 176	 outval = -61
idx = 476	 inval = -2065039360	 outidx = 177	 outval = -61
idx = 479	 inval = -2067988480	 outidx = 178	 outval = -61
idx = 481	 inval = -2069889024	 outidx = 179	 outval = -61
idx = 484	 inval = -2071461888	 outidx = 180	 outval = -61
idx = 487	 inval = -2071789568	 outidx = 181	 outval = -61
idx = 489	 inval = -2071789568	 outidx = 182	 outval = -61
idx = 492	 inval = -2071592960	 outidx = 183	 outval = -61
idx = 495	 inval = -2071592960	 outidx = 184	 outval = -61
idx = 497	 inval = -2071330816	 outidx = 185	 outval = -61
idx = 503	 inval = -2070609920	 outidx = 187	 outval = -61
idx = 506	 inval = -2070151168	 outidx = 188	 outval = -61
idx = 508	 inval = -2069889024	 outidx = 189	 outval = -61
idx = 511	 inval = -2069561344	 outidx = 190	 outval = -61
idx = 514	 inval = -2069102592	 outidx = 191	 outval = -61
idx = 516	 inval = -2068840448	 outidx = 192	 outval = -61
idx = 519	 inval = -2068578304	 outidx = 193	 outval = -61
idx = 522	 inval = -2068119552	 outidx = 194	 outval = -61
idx = 524	 inval = -2067922944	 outidx = 195	 outval = -61
idx = 527	 inval = -2067726336	 outidx = 196	 outval = -61
idx = 532	 inval = -2067005440	 outidx = 198	 outval = -61
idx = 535	 inval = -2066808832	 outidx = 199	 outval = -61
idx = 538	 inval = -2066284544	 outidx = 200	 outval = -61
idx = 541	 inval = -2066087936	 outidx = 201	 outval = -61
idx = 543	 inval = -2065825792	 outidx = 202	 outval = -61
idx = 546	 inval = -2065301504	 outidx = 203	 outval = -61
idx = 549	 inval = -2065039360	 outidx = 204	 outval = -61
idx = 551	 inval = -2064777216	 outidx = 205	 outval = -61
idx = 554	 inval = -2064384000	 outidx = 206	 outval = -61
idx = 557	 inval = -2064121856	 outidx = 207	 outval = -61
